spec,estimand,dropped_id,dropped_label,b,se,tau,N,clusters,full_b_tmp,full_b,delta,abs_delta
T3_col2_capi,Capital,19,Jackson Wigger Xiong(2021),.0268858521189981,.0098181302,.021782972,39,21,,.0266080082081685,.0002778439108297,.0002778439108297
T3_col2_capi,Capital,8,Carlson Lavertu(2018),.0265631064497305,.0097610131,.02095563,39,21,,.0266080082081685,-.000044901758438,.000044901758438
T3_col2_capi,Capital,0,full sample,.0266080082081685,.0097685922,.021069113,40,22,.0266080082081685,.0266080082081685,,
T3_col2_capi,Capital,14,Gigliotti Sorensen(2018),.0273891148577188,.0099198576,.023127874,39,21,,.0266080082081685,.0007811066495503,.0007811066495503
T3_col2_capi,Capital,100,Brunner Hyman Ju(2020) Lafortune Rothstein Schanzenbach(2018),.026695585212785,.0097837141,.021291954,34,21,,.0266080082081685,.0000875770046166,.0000875770046166
T3_col2_capi,Capital,37,Weinstein Stiefel Schwartz Chalico(2009),.0257125008655296,.0096385153,.018902121,39,21,,.0266080082081685,-.0008955073426389,.0008955073426389
T3_col2_capi,Capital,35,Rauscher(2020),.026555296705185,.0097597064,.020935943,38,21,,.0266080082081685,-.0000527115029835,.0000527115029835
T3_col2_capi,Capital,12,Clark(2003),.0268598741861163,.0098133031,.021715373,39,21,,.0266080082081685,.0002518659779479,.0002518659779479
T3_col2_capi,Capital,17,Hong Zimmer(2016),.0232323822702019,.0090384567,.020612486,39,21,,.0266080082081685,-.0033756259379666,.0033756259379666
T3_col2_capi,Capital,5,Baron(2022),.0275425894840258,.0099830283,.020576483,37,21,,.0266080082081685,.0009345812758573,.0009345812758573
T3_col2_capi,Capital,3,Baron(2022),.0265768254421647,.0097633163,.020990247,38,21,,.0266080082081685,-.0000311827660037,.0000311827660037
T3_col2_capi,Overall,5,Baron(2022),.0342454353482252,.006765407,.020576483,37,21,,.0343007373969769,-.0000553020487516,.0000553020487516
T3_col2_capi,Overall,16,Guryan(2001),.0344547910252725,.0069714729,.021580193,39,21,,.0343007373969769,.0001540536282957,.0001540536282957
T3_col2_capi,Overall,100,Brunner Hyman Ju(2020) Lafortune Rothstein Schanzenbach(2018),.0348387694545682,.0077130035,.021291954,34,21,,.0343007373969769,.0005380320575914,.0005380320575914
T3_col2_capi,Overall,99,Chaudhary(2009) Hyman(2017) Papke(2008) Roy(2011),.0331641107873928,.0066121323,.019299209,37,21,,.0343007373969769,-.0011366266095841,.0011366266095841
T3_col2_capi,Overall,32,Neilson Zimmerman(2014),.0343962778485866,.0068905177,.021902394,39,21,,.0343007373969769,.0000955404516097,.0000955404516097
T3_col2_capi,Overall,27,Lafortune Schonholzer(2022),.0342847501099325,.0067979754,.020927498,39,21,,.0343007373969769,-.0000159872870443,.0000159872870443
