.11577098,.066656023
.17900079,.13047789
-.15789835,.097945817
.053070068,.017291766
.090191469,.04750308
.17728561,.082940862
.017904915,.042361505
.014821005,.011599047
.0063122017,.0046841372
.042437389,.009826947
-.0016544309,.019734552
.028062288,.068869054
.091070436,.051207259
.049931735,.019632893
.019043032,.012650293
.077933796,.023670752
.016365532,.013342984
.050416794,.022335799
.025415618,.022572052
.051504426,.013689335
.031395163,.02364218
.081692062,.01208607
.0069595785,.004105432
.016145227,.027123105
.38035834,.15632541
-.054113217,.036826897
