.13958177,.16971874
.08471673,.087637998
.029524723,.08533705
.2566337,.12309466
.18692076,.076685444
.018817382,.05191002
.051131368,.013340876
.13133235,.07604818
.55456311,.20557578
.055158768,.025740759
.079060905,.03861114
.0055158772,.034933884
.037991863,.013344405
.055596113,.063903444
.14378305,.075320847
.34060606,.15165564
.07981357,.016250147
.027532436,.019584814
.11401478,.031672057
.057065189,.0092896819
.027869046,.01459807
-.0053083897,.013270974
.064010307,.014112235
.066192202,.016892802
.15954843,.1697702
